author,gutenberg_id,title
"Dickens, Charles ",40729,"""Old Scrooge"": A Christmas Carol in Five Staves.Dramatized from Charles Dickens' Celebrated Christmas Story."
"Dickens, Charles ",730,Oliver Twist
"Dickens, Charles ",46675,"Oliver Twist; or, The Parish Boy's Progress. Illustrated"
"Dickens, Charles ",47529,"Oliver Twist, Vol. 1"
"Dickens, Charles ",47530,"Oliver Twist, Vol. 2"
"Dickens, Charles ",47531,"Oliver Twist, Vol. 3"
"Dickens, Charles ",883,Our Mutual Friend
"Dickens, Charles ",49927,Pearl-Fishing; Choice Stories from Dickens' Household Words; First Series
"Dickens, Charles ",50334,Pearl-Fishing; Choice Stories from Dickens' Household Words; Second Series
"Dickens, Charles ",1406,The Perils of Certain English Prisoners
"Dickens, Charles ",43111,The Personal History of David Copperfield
"Dickens, Charles ",580,The Pickwick Papers
"Dickens, Charles ",650,Pictures from Italy
"Dickens, Charles ",35536,The Poems and Verses of Charles Dickens
"Dickens, Charles ",47534,"The Posthumous Papers of the Pickwick Club, v. 1"
"Dickens, Charles ",47535,"The Posthumous Papers of the Pickwick Club, v. 2"
"Dickens, Charles ",872,Reprinted Pieces
"Dickens, Charles ",43207,"Scenes and Characters from the Works of Charles DickensBeing Eight Hundred and Sixty-six Pictures Printed from the Original Wood Blocks"
"Dickens, Charles ",1392,The Seven Poor Travellers
"Dickens, Charles ",882,"Sketches by Boz, Illustrative of Every-Day Life and Every-Day People"
"Dickens, Charles ",916,Sketches of Young Couples
"Dickens, Charles ",918,Sketches of Young Gentlemen
"Dickens, Charles ",1414,Somebody's Luggage
"Dickens, Charles ",1467,Some Christmas Stories
"Dickens, Charles ",824,Speeches: Literary and Social
"Dickens, Charles ",49125,Stories from Dickens
"Dickens, Charles ",922,Sunday Under Three Heads
"Dickens, Charles ",98,A Tale of Two Cities
"Dickens, Charles ",30127,Tales from Dickens
"Dickens, Charles ",1289,Three Ghost Stories
"Dickens, Charles ",924,To Be Read at Dusk
"Dickens, Charles ",1413,Tom Tiddler's Ground
"Dickens, Charles ",23452,The Trial of William TinklingWritten by Himself at the Age of 8 Years
"Dickens, Charles ",914,The Uncommercial Traveller
"Dickens, Charles ",31517,"A Week at Waterloo in 1815Lady De Lancey's Narrative: Being an Account of How She Nursed Her Husband, Colonel Sir William Howe De Lancey, Quartermaster-General of the Army, Mortally Wounded in the Great Battle"
"Dickens, Charles ",1465,The Wreck of the Golden Mary
"Doyle, Arthur Conan ",2346,The Adventure of the Bruce-Partington Plans
"Doyle, Arthur Conan ",2344,The Adventure of the Cardboard Box
"Doyle, Arthur Conan ",2349,The Adventure of the Devil's Foot
"Doyle, Arthur Conan ",2347,The Adventure of the Dying Detective
"Doyle, Arthur Conan ",2345,The Adventure of the Red Circle
"Doyle, Arthur Conan ",2343,The Adventure of Wisteria Lodge
"Doyle, Arthur Conan ",1644,The Adventures of Gerard
"Doyle, Arthur Conan ",1661,The Adventures of Sherlock Holmes
"Doyle, Arthur Conan ",48320,Adventures of Sherlock HolmesIllustrated
"Doyle, Arthur Conan ",356,Beyond the City
"Doyle, Arthur Conan ",17398,The Cabman's StoryThe Mysteries of a London 'Growler'
"Doyle, Arthur Conan ",294,"The Captain of the Polestar, and Other Tales"
"Doyle, Arthur Conan ",59809,The Case for Spirit PhotographyWith corroborative evidence by experienced researchers and photographers
"Doyle, Arthur Conan ",47506,The Coming of the Fairies
"Doyle, Arthur Conan ",37712,The Crime of the Congo
"Doyle, Arthur Conan ",38443,The Croxley Master: A Great Tale Of The Prize Ring
"Doyle, Arthur Conan ",22357,Danger! and Other Stories
"Doyle, Arthur Conan ",34627,"The Dealings of Captain Sharkey, and Other Tales of Pirates"
"Doyle, Arthur Conan ",21768,"A Desert Drama: Being The Tragedy Of The ""Korosko"""
"Doyle, Arthur Conan ",2348,The Disappearance of Lady Frances Carfax
"Doyle, Arthur Conan ",8394,The Doings of Raffles Haw
"Doyle, Arthur Conan ",5260,"A Duet, with an Occasional Chorus"
"Doyle, Arthur Conan ",11247,The Exploits of Brigadier Gerard
"Doyle, Arthur Conan ",13152,The Firm of Girdlestone
"Doyle, Arthur Conan ",42127,The German War
"Doyle, Arthur Conan ",3069,The Great Boer War
"Doyle, Arthur Conan ",32777,The Great Keinplatz Experiment and Other Tales of Twilight and the Unseen
"Doyle, Arthur Conan ",11656,The Great Shadow and Other Napoleonic Tales
"Doyle, Arthur Conan ",10446,"The Green Flag, and Other Stories of War and Sport"
"Doyle, Arthur Conan ",38071,"The Guards Came Through, and Other Poems"
"Doyle, Arthur Conan ",40848,"The Gully of Bluemansdyke, and Other stories"
"Doyle, Arthur Conan ",2350,His Last Bow: An Epilogue of Sherlock Holmes
"Doyle, Arthur Conan ",3070,The Hound of the Baskervilles
"Doyle, Arthur Conan ",2852,The Hound of the Baskervilles
"Doyle, Arthur Conan ",58574,Index of the Project Gutenberg Works of Arthur Conan Doyle
"Doyle, Arthur Conan ",8727,The Last Galley; Impressions and Tales
"Doyle, Arthur Conan ",26153,The Last of the Legions and Other Tales of Long Ago
"Doyle, Arthur Conan ",2038,The Lock and Key Library: Classic Mystery and Detective Stories: Modern English
"Doyle, Arthur Conan ",139,The Lost World
"Doyle, Arthur Conan ",34797,"The Man from Archangel, and Other Tales of Adventure"
"Doyle, Arthur Conan ",834,The Memoirs of Sherlock Holmes
"Doyle, Arthur Conan ",9504,"Micah ClarkeHis Statement as made to his three grandchildren Joseph, Gervas and Reuben During the Hard Winter of 1734"
"Doyle, Arthur Conan ",23059,My Friend The Murderer
"Doyle, Arthur Conan ",7964,The Mystery of Cloomber
"Doyle, Arthur Conan ",1638,The New Revelation
"Doyle, Arthur Conan ",355,The Parasite: A Story
"Doyle, Arthur Conan ",126,The Poison Belt
"Doyle, Arthur Conan ",11413,"The RefugeesA Tale of Two Continents"
"Doyle, Arthur Conan ",221,The Return of Sherlock Holmes
"Doyle, Arthur Conan ",108,The Return of Sherlock Holmes
"Doyle, Arthur Conan ",5148,Rodney Stone
"Doyle, Arthur Conan ",54109,Round the Fire Stories
"Doyle, Arthur Conan ",423,Round the Red Lamp: Being Facts and Fancies of Medical Life
"Doyle, Arthur Conan ",2097,The Sign of the Four
"Doyle, Arthur Conan ",2845,Sir Nigel
"Doyle, Arthur Conan ",4295,Songs of Action
"Doyle, Arthur Conan ",21769,Songs Of The Road
"Doyle, Arthur Conan ",290,"The Stark Munro LettersBeing series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884"
"Doyle, Arthur Conan ",1980,Stories by English Authors: Africa
"Doyle, Arthur Conan ",244,A Study in Scarlet
"Doyle, Arthur Conan ",537,Tales of Terror and Mystery
"Doyle, Arthur Conan ",5317,Through the Magic Door
"Doyle, Arthur Conan ",12555,The Tragedy of the Korosko
"Doyle, Arthur Conan ",10581,Uncle Bernac: A Memory of the Empire
"Doyle, Arthur Conan ",3289,The Valley of Fear
"Doyle, Arthur Conan ",3776,The Valley of Fear
"Doyle, Arthur Conan ",15466,Victorian Short Stories of Troubled Marriages
"Doyle, Arthur Conan ",9874,A Visit to Three Fronts: June 1916
"Doyle, Arthur Conan ",439,The Vital Message
"Doyle, Arthur Conan ",39718,The Wanderings of a Spiritualist
"Doyle, Arthur Conan ",24951,"The War in South Africa, Its Cause and Conduct"
"Doyle, Arthur Conan ",903,The White Company
"Twain, Mark ",3190,1601: Conversation as it was by the Social Fireside in the Time of the Tudors
"Twain, Mark ",142,"The $30,000 Bequest, and Other Stories"
"Twain, Mark ",76,Adventures of Huckleberry Finn
"Twain, Mark ",7100,"Adventures of Huckleberry Finn, Chapters 01 to 05"
"Twain, Mark ",7101,"Adventures of Huckleberry Finn, Chapters 06 to 10"
"Twain, Mark ",7102,"Adventures of Huckleberry Finn, Chapters 11 to 15"
"Twain, Mark ",7103,"Adventures of Huckleberry Finn, Chapters 16 to 20"
"Twain, Mark ",7104,"Adventures of Huckleberry Finn, Chapters 21 to 25"
"Twain, Mark ",7105,"Adventures of Huckleberry Finn, Chapters 26 to 30"
"Twain, Mark ",7106,"Adventures of Huckleberry Finn, Chapters 31 to 35"
"Twain, Mark ",7107,"Adventures of Huckleberry Finn, Chapters 36 to the Last"
"Twain, Mark ",32325,The Adventures of Huckleberry Finn
"Twain, Mark ",74,The Adventures of Tom Sawyer
"Twain, Mark ",7193,"The Adventures of Tom Sawyer, Part 1."
"Twain, Mark ",7194,"The Adventures of Tom Sawyer, Part 2."
"Twain, Mark ",7195,"The Adventures of Tom Sawyer, Part 3."
"Twain, Mark ",7196,"The Adventures of Tom Sawyer, Part 4."
"Twain, Mark ",7197,"The Adventures of Tom Sawyer, Part 5."
"Twain, Mark ",7198,"The Adventures of Tom Sawyer, Part 6."
"Twain, Mark ",7199,"The Adventures of Tom Sawyer, Part 7."
"Twain, Mark ",7200,"The Adventures of Tom Sawyer, Part 8."
"Twain, Mark ",3184,"Alonzo Fitz, and Other Stories"
"Twain, Mark ",3179,The American Claimant
"Twain, Mark ",10947,The Best American Humorous Short Stories
"Twain, Mark ",19987,Chapters from My Autobiography
"Twain, Mark ",3187,Christian Science
"Twain, Mark ",86,A Connecticut Yankee in King Arthur's Court
"Twain, Mark ",7242,"A Connecticut Yankee in King Arthur's Court, Part 1."
"Twain, Mark ",7243,"A Connecticut Yankee in King Arthur's Court, Part 2."
"Twain, Mark ",7244,"A Connecticut Yankee in King Arthur's Court, Part 3."
"Twain, Mark ",7245,"A Connecticut Yankee in King Arthur's Court, Part 4."
"Twain, Mark ",7246,"A Connecticut Yankee in King Arthur's Court, Part 5."
"Twain, Mark ",7247,"A Connecticut Yankee in King Arthur's Court, Part 6."
"Twain, Mark ",7248,"A Connecticut Yankee in King Arthur's Court, Part 7."
"Twain, Mark ",7249,"A Connecticut Yankee in King Arthur's Court, Part 8."
"Twain, Mark ",7250,"A Connecticut Yankee in King Arthur's Court, Part 9."
"Twain, Mark ",3192,"The Curious Republic of Gondour, and Other Whimsical Sketches"
"Twain, Mark ",3174,A Dog's Tale
"Twain, Mark ",3180,A Double Barrelled Detective Story
"Twain, Mark ",19484,Editorial Wild Oats
"Twain, Mark ",3173,Essays on Paul Bourget
"Twain, Mark ",8525,"Eve's Diary, Complete"
"Twain, Mark ",8526,"Eve's Diary, Part 1"
"Twain, Mark ",8527,"Eve's Diary, Part 2"
"Twain, Mark ",8528,"Eve's Diary, Part 3"
"Twain, Mark ",1044,Extract from Captain Stormfield's Visit to Heaven
"Twain, Mark ",1892,"Extracts from Adam's Diary, translated from the original ms."
"Twain, Mark ",3183,The Facts Concerning the Recent Carnival of Crime in Connecticut
"Twain, Mark ",3172,Fenimore Cooper's Literary Offences
"Twain, Mark ",2895,Following the Equator: A Journey Around the World
"Twain, Mark ",5808,Following the Equator: A Journey Around the World. Part 1
"Twain, Mark ",5809,Following the Equator: A Journey Around the World. Part 2
"Twain, Mark ",5810,Following the Equator: A Journey Around the World. Part 3
"Twain, Mark ",5811,Following the Equator: A Journey Around the World. Part 4
"Twain, Mark ",5812,Following the Equator: A Journey Around the World. Part 5
"Twain, Mark ",5813,Following the Equator: A Journey Around the World. Part 6
"Twain, Mark ",5814,Following the Equator: A Journey Around the World. Part 7
"Twain, Mark ",3178,The Gilded Age: A Tale of Today
"Twain, Mark ",5818,"The Gilded Age, Part 1."
"Twain, Mark ",5819,"The Gilded Age, Part 2."
"Twain, Mark ",5820,"The Gilded Age, Part 3."
"Twain, Mark ",5821,"The Gilded Age, Part 4."
"Twain, Mark ",5822,"The Gilded Age, Part 5."
"Twain, Mark ",5823,"The Gilded Age, Part 6."
"Twain, Mark ",5824,"The Gilded Age, Part 7."
"Twain, Mark ",3191,Goldsmith's Friend Abroad Again
"Twain, Mark ",10135,"The Great English Short-Story Writers, Volume 1"
"Twain, Mark ",1086,A Horse's Tale
"Twain, Mark ",3250,"How to Tell a Story, and Other Essays"
"Twain, Mark ",3171,In Defence of Harriet Shelley
"Twain, Mark ",3176,The Innocents Abroad
"Twain, Mark ",5688,The Innocents Abroad — Volume 01
"Twain, Mark ",5689,The Innocents Abroad — Volume 02
"Twain, Mark ",5690,The Innocents Abroad — Volume 03
"Twain, Mark ",5691,The Innocents Abroad — Volume 04
"Twain, Mark ",5692,The Innocents Abroad — Volume 05
"Twain, Mark ",5693,The Innocents Abroad — Volume 06
"Twain, Mark ",2431,"Is Shakespeare Dead?From My Autobiography"
"Twain, Mark ",245,Life on the Mississippi
"Twain, Mark ",8471,"Life on the Mississippi, Part 1."
"Twain, Mark ",8480,"Life on the Mississippi, Part 10."
"Twain, Mark ",8481,"Life on the Mississippi, Part 11."
"Twain, Mark ",8482,"Life on the Mississippi, Part 12."
"Twain, Mark ",8472,"Life on the Mississippi, Part 2."
"Twain, Mark ",8473,"Life on the Mississippi, Part 3."
"Twain, Mark ",8474,"Life on the Mississippi, Part 4."
"Twain, Mark ",8475,"Life on the Mississippi, Part 5."
"Twain, Mark ",8476,"Life on the Mississippi, Part 6."
"Twain, Mark ",8477,"Life on the Mississippi, Part 7."
"Twain, Mark ",8478,"Life on the Mississippi, Part 8."
"Twain, Mark ",8479,"Life on the Mississippi, Part 9."
"Twain, Mark ",30092,Lords of the Housetops: Thirteen Cat Tales
"Twain, Mark ",1213,The Man That Corrupted Hadleyburg
"Twain, Mark ",3251,"The Man That Corrupted Hadleyburg, and Other Stories"
"Twain, Mark ",3175,Mark Twain's Burlesque Autobiography
"Twain, Mark ",3199,Mark Twain's Letters — Complete
"Twain, Mark ",3193,Mark Twain's Letters — Volume 1
"Twain, Mark ",3194,Mark Twain's Letters — Volume 2
"Twain, Mark ",3195,Mark Twain's Letters — Volume 3
"Twain, Mark ",3196,Mark Twain's Letters — Volume 4
"Twain, Mark ",3197,Mark Twain's Letters — Volume 5
"Twain, Mark ",3198,Mark Twain's Letters — Volume 6
"Twain, Mark ",3188,Mark Twain's Speeches
"Twain, Mark ",3186,"The Mysterious Stranger, and Other Stories"
"Twain, Mark ",50109,The Mysterious Stranger: A Romance
"Twain, Mark ",2572,On the Decay of the Art of Lying
"Twain, Mark ",2874,Personal Recollections of Joan of Arc — Volume 1
"Twain, Mark ",2875,Personal Recollections of Joan of Arc — Volume 2
"Twain, Mark ",1837,The Prince and the Pauper
"Twain, Mark ",7154,"The Prince and the Pauper, Part 1."
"Twain, Mark ",7155,"The Prince and the Pauper, Part 2."
"Twain, Mark ",7156,"The Prince and the Pauper, Part 3."
"Twain, Mark ",7157,"The Prince and the Pauper, Part 4."
"Twain, Mark ",7158,"The Prince and the Pauper, Part 5."
"Twain, Mark ",7159,"The Prince and the Pauper, Part 6."
"Twain, Mark ",7160,"The Prince and the Pauper, Part 7."
"Twain, Mark ",7161,"The Prince and the Pauper, Part 8."
"Twain, Mark ",7162,"The Prince and the Pauper, Part 9."
"Twain, Mark ",3432,Quotations from the Project Gutenberg Editions of the Works of Mark Twain
"Twain, Mark ",7556,Quotes and Images From The Works of Mark Twain
"Twain, Mark ",3177,Roughing It
"Twain, Mark ",8582,"Roughing It, Part 1."
"Twain, Mark ",8583,"Roughing It, Part 2."
"Twain, Mark ",8584,"Roughing It, Part 3."
"Twain, Mark ",8585,"Roughing It, Part 4."
"Twain, Mark ",8586,"Roughing It, Part 5."
"Twain, Mark ",8587,"Roughing It, Part 6."
"Twain, Mark ",8588,"Roughing It, Part 7."
"Twain, Mark ",8589,"Roughing It, Part 8."
"Twain, Mark ",3189,Sketches New and Old
"Twain, Mark ",5836,"Sketches New and Old, Part 1."
"Twain, Mark ",5837,"Sketches New and Old, Part 2."
"Twain, Mark ",5838,"Sketches New and Old, Part 3."
"Twain, Mark ",5839,"Sketches New and Old, Part 4."
"Twain, Mark ",5840,"Sketches New and Old, Part 5."
"Twain, Mark ",5841,"Sketches New and Old, Part 6."
"Twain, Mark ",5842,"Sketches New and Old, Part 7."
"Twain, Mark ",3182,Some Rambling Notes of an Idle Excursion
"Twain, Mark ",3181,The Stolen White Elephant
"Twain, Mark ",3185,Those Extraordinary Twins
"Twain, Mark ",91,Tom Sawyer Abroad
"Twain, Mark ",93,"Tom Sawyer, Detective"
"Twain, Mark ",102,The Tragedy of Pudd'nhead Wilson
"Twain, Mark ",119,A Tramp Abroad
"Twain, Mark ",5782,A Tramp Abroad — Volume 01
"Twain, Mark ",5783,A Tramp Abroad — Volume 02
"Twain, Mark ",5784,A Tramp Abroad — Volume 03
"Twain, Mark ",5785,A Tramp Abroad — Volume 04
"Twain, Mark ",5786,A Tramp Abroad — Volume 05
"Twain, Mark ",5787,A Tramp Abroad — Volume 06
"Twain, Mark ",5788,A Tramp Abroad — Volume 07
"Twain, Mark ",33077,"The Treaty With China, its Provisions ExplainedNew York Tribune, Tuesday, August 28, 1868"
"Twain, Mark ",70,What Is Man? and Other Essays
"Twain, Mark ",28803,The Works of Mark Twain: An Index of all Project Gutenberg Editions
"Shakespeare, William ",1125,All's Well That Ends Well
"Shakespeare, William ",1529,All's Well That Ends Well
"Shakespeare, William ",2246,All's Well That Ends Well
"Shakespeare, William ",1791,All's Well That Ends Well
"Shakespeare, William ",2268,Antony and Cleopatra
"Shakespeare, William ",1534,Antony and Cleopatra
"Shakespeare, William ",1796,Antony and Cleopatra
"Shakespeare, William ",43440,Arden of Feversham
"Shakespeare, William ",1121,As You Like It
"Shakespeare, William ",1523,As You Like It
"Shakespeare, William ",1786,As You Like It
"Shakespeare, William ",2244,As You Like It
"Shakespeare, William ",1430,Beautiful Stories from Shakespeare
"Shakespeare, William ",1769,The Comedy of Errors
"Shakespeare, William ",1104,The Comedy of Errors
"Shakespeare, William ",2239,The Comedy of Errors
"Shakespeare, William ",1504,The Comedy of Errors
"Shakespeare, William ",23046,The Comedy of ErrorsThe Works of William Shakespeare [Cambridge Edition] [9 vols.]
"Shakespeare, William ",100,The Complete Works of William Shakespeare
"Shakespeare, William ",2259,Coriolanus
"Shakespeare, William ",1797,Coriolanus
"Shakespeare, William ",1133,Cymbeline
"Shakespeare, William ",2269,Cymbeline
"Shakespeare, William ",1538,Cymbeline
"Shakespeare, William ",1799,Cymbeline
"Shakespeare, William ",12842,A Fairy Tale in Two Acts Taken from Shakespeare
"Shakespeare, William ",1100,The First Part of Henry the Sixth
"Shakespeare, William ",1115,The First Part of King Henry the Fourth
"Shakespeare, William ",2265,Hamlet
"Shakespeare, William ",1787,Hamlet
"Shakespeare, William ",1524,"Hamlet, Prince of Denmark"
"Shakespeare, William ",27761,"Hamlet, Prince of Denmark"
"Shakespeare, William ",2251,"Henry IV, Part 1"
"Shakespeare, William ",2253,Henry V
"Shakespeare, William ",2258,Henry VIII
"Shakespeare, William ",1765,"Henry VI, Part 1"
"Shakespeare, William ",2254,"Henry VI, Part 1"
"Shakespeare, William ",2255,"Henry VI, Part 2"
"Shakespeare, William ",2256,"Henry VI, Part 3"
"Shakespeare, William ",1501,"History of King Henry the Sixth, Second Part"
"Shakespeare, William ",1502,"The History of King Henry the Sixth, Third Part"
"Shakespeare, William ",1528,The History of Troilus and Cressida
"Shakespeare, William ",1124,The History of Troilus and Cressida
"Shakespeare, William ",1785,Julius Caesar
"Shakespeare, William ",2263,Julius Caesar
"Shakespeare, William ",1522,Julius Caesar
"Shakespeare, William ",1780,"King Henry IV, Part 1"
"Shakespeare, William ",1782,"King Henry IV, Part 2"
"Shakespeare, William ",1518,"King Henry IV, Second Part"
"Shakespeare, William ",1516,"King Henry IV, the First Part"
"Shakespeare, William ",1136,King Henry the Eighth
"Shakespeare, William ",22791,King Henry the FifthArranged for Representation at the Princess's Theatre
"Shakespeare, William ",1784,King Henry V
"Shakespeare, William ",1500,"King Henry VI, First Part"
"Shakespeare, William ",1802,King Henry VIII
"Shakespeare, William ",2249,King John
"Shakespeare, William ",1775,King John
"Shakespeare, William ",1110,King John
"Shakespeare, William ",1511,King John
"Shakespeare, William ",2266,King Lear
"Shakespeare, William ",1794,King Lear
"Shakespeare, William ",1776,King Richard II
"Shakespeare, William ",1103,King Richard III
"Shakespeare, William ",1768,King Richard III
"Shakespeare, William ",1111,King Richard the Second
"Shakespeare, William ",1541,The Life of Henry the Eighth
"Shakespeare, William ",1119,The Life of King Henry the Fifth
"Shakespeare, William ",1521,The Life of King Henry V
"Shakespeare, William ",1536,The Life of Timon of Athens
"Shakespeare, William ",1132,The Life of Timon of Athens
"Shakespeare, William ",1137,A Lover's Complaint
"Shakespeare, William ",1543,A Lover's Complaint
"Shakespeare, William ",2241,Love's Labour's Lost
"Shakespeare, William ",1109,Love's Labour's Lost
"Shakespeare, William ",1774,Love's Labour's Lost
"Shakespeare, William ",1510,Love's Labour's Lost
"Shakespeare, William ",1533,Macbeth
"Shakespeare, William ",2264,Macbeth
"Shakespeare, William ",1795,Macbeth
"Shakespeare, William ",2238,Measure for Measure
"Shakespeare, William ",1530,Measure for Measure
"Shakespeare, William ",1792,Measure for Measure
"Shakespeare, William ",1126,Measure for Measure
"Shakespeare, William ",23045,Measure for MeasureThe Works of William Shakespeare [Cambridge Edition] [9 vols.]
"Shakespeare, William ",2243,The Merchant of Venice
"Shakespeare, William ",1515,The Merchant of Venice
"Shakespeare, William ",1779,The Merchant of Venice
"Shakespeare, William ",1114,The Merchant of Venice
"Shakespeare, William ",1116,The Merry Wives of Windsor
"Shakespeare, William ",1517,The Merry Wives of Windsor
"Shakespeare, William ",1781,The Merry Wives of Windsor
"Shakespeare, William ",2237,The Merry Wives of Windsor
"Shakespeare, William ",23044,The Merry Wives of WindsorThe Works of William Shakespeare [Cambridge Edition] [9 vols.]
"Shakespeare, William ",1514,A Midsummer Night's Dream
"Shakespeare, William ",2242,A Midsummer Night's Dream
"Shakespeare, William ",1113,A Midsummer Night's Dream
"Shakespeare, William ",1778,A Midsummer Night's Dream
"Shakespeare, William ",1520,Much Ado about Nothing
"Shakespeare, William ",2240,Much Ado about Nothing
"Shakespeare, William ",1118,Much Ado about Nothing
"Shakespeare, William ",1783,Much Ado about Nothing
"Shakespeare, William ",1519,Much Ado about Nothing
"Shakespeare, William ",2252,Much Ado About Nothing
"Shakespeare, William ",28334,The New Hudson Shakespeare: Julius Cæsar
"Shakespeare, William ",44740,New Readings of Old Authors. Shakspeare. King Henry 5th
"Shakespeare, William ",2267,Othello
"Shakespeare, William ",1793,Othello
"Shakespeare, William ",1531,"Othello, the Moor of Venice"
"Shakespeare, William ",1544,The Passionate Pilgrim
"Shakespeare, William ",1545,The Passionate Pilgrim
"Shakespeare, William ",1537,"Pericles, Prince of Tyre"
"Shakespeare, William ",1525,The Phoenix and the Turtle
"Shakespeare, William ",1505,The Rape of Lucrece
"Shakespeare, William ",1506,The Rape of Lucrece
"Shakespeare, William ",2250,Richard II
"Shakespeare, William ",2257,Richard III
"Shakespeare, William ",1513,Romeo and Juliet
"Shakespeare, William ",2261,Romeo and Juliet
"Shakespeare, William ",1777,Romeo and Juliet
"Shakespeare, William ",1117,Second Part of King Henry IV
"Shakespeare, William ",1101,The Second Part of King Henry the Sixth
